order_date,ship_date,ship_mode,segment,city,state,region,category,sub-category,product_name,sales,order_year,order_month,order_day,shipping_time,category_avg_sales,day_of_week,is_weekend,month,year,quarter,is_month_start,is_month_end,log_sales,region_avg_sales,city_order_count,product_name_length,shipping_days
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,2015,6,9,5 days,350.687146701974,1,0,6,2015,2,0,0,7.442600508432343,226.18461289808917,728,40,5
2015-06-09,2015-06-14,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,2015,6,9,5 days,456.40147435190295,1,0,6,2015,2,0,0,6.816104794316803,226.18461289808917,728,45,5
2018-04-15,2018-04-20,Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1967,15.552,2018,4,15,5 days,119.38100084616687,6,1,4,2018,2,0,0,2.8065069404432417,243.52406695869837,31,10,5
2017-12-05,2017-12-10,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,2017,12,5,5 days,119.38100084616687,1,0,12,2017,4,0,0,6.0136564746144785,226.18461289808917,426,43,5
2016-11-22,2016-11-26,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,2016,11,22,4 days,119.38100084616687,1,0,11,2016,4,0,0,4.24577726598231,216.35788897672376,27,76,4
2016-11-22,2016-11-26,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,2016,11,22,4 days,119.38100084616687,1,0,11,2016,4,0,0,1.2652560327428346,216.35788897672376,27,48,4
2015-11-11,2015-11-18,Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,2015,11,11,7 days,119.38100084616687,2,0,11,2015,4,0,0,6.502610119684893,216.35788897672376,10,62,7
2015-05-13,2015-05-15,Second Class,Consumer,West Jordan,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2015,5,13,2 days,119.38100084616687,2,0,5,2015,2,0,0,4.034240638152395,226.18461289808917,5,26,2
2015-08-27,2015-09-01,Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,Newell 341,8.56,2015,8,27,5 days,119.38100084616687,3,0,8,2015,3,0,0,2.25758772706331,226.18461289808917,500,10,5
2015-08-27,2015-09-01,Second Class,Consumer,San Francisco,California,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,2015,8,27,5 days,456.40147435190295,3,0,8,2015,3,0,0,5.3682164939277035,226.18461289808917,500,23,5
2015-08-27,2015-09-01,Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,2015,8,27,5 days,119.38100084616687,3,0,8,2015,3,0,0,3.1663185741295248,226.18461289808917,500,43,5
2017-12-09,2017-12-13,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,Newell 318,19.46,2017,12,9,4 days,119.38100084616687,5,1,12,2017,4,0,0,3.0184717605234805,216.35788897672376,8,10,4
2017-12-09,2017-12-13,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,2017,12,9,4 days,119.38100084616687,5,1,12,2017,4,0,0,4.116432158686106,216.35788897672376,8,43,4
2018-07-16,2018-07-18,Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2018,7,16,2 days,350.687146701974,0,0,7,2018,3,0,0,4.28181948425685,240.3869806034483,532,34,2
2016-09-25,2016-09-30,Standard Class,Consumer,Orem,Utah,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,2016,9,25,5 days,350.687146701974,6,1,9,2016,3,0,0,6.952374853558705,226.18461289808917,9,45,5
2017-01-16,2017-01-20,Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2017,1,16,4 days,119.38100084616687,0,0,1,2017,1,0,0,2.537499099907171,226.18461289808917,728,31,4
2017-01-16,2017-01-20,Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,2017,1,16,4 days,456.40147435190295,0,0,1,2017,1,0,0,4.517103707119641,226.18461289808917,728,48,4
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,2016,9,17,4 days,350.687146701974,5,1,9,2016,3,0,0,8.034122154276439,240.3869806034483,532,61,4
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2016,9,17,4 days,119.38100084616687,5,1,9,2016,3,0,0,2.3625506741614797,240.3869806034483,532,52,4
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,2016,9,17,4 days,350.687146701974,5,1,9,2016,3,0,0,4.829912458665998,240.3869806034483,532,62,4
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2016,9,17,4 days,119.38100084616687,5,1,9,2016,3,0,0,1.4502076868635432,240.3869806034483,532,25,4
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,2016,9,17,4 days,119.38100084616687,5,1,9,2016,3,0,0,4.4693962808107885,240.3869806034483,532,61,4
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,2016,9,17,4 days,119.38100084616687,5,1,9,2016,3,0,0,2.061532121136268,240.3869806034483,532,71,4
2016-09-17,2016-09-21,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,15.76,2016,9,17,4 days,119.38100084616687,5,1,9,2016,3,0,0,2.818995095053937,240.3869806034483,532,14,4
2018-10-19,2018-10-23,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Paper,Easy-staple paper,29.472,2018,10,19,4 days,119.38100084616687,4,0,10,2018,4,0,0,3.416808229176303,216.35788897672376,374,17,4
2017-12-08,2017-12-10,First Class,Corporate,Richardson,Texas,Central,Technology,Phones,GE 30524EE4,1097.544,2017,12,8,2 days,456.40147435190295,4,0,12,2017,4,0,0,7.001740945642436,216.35788897672376,2,11,2
2017-12-08,2017-12-10,First Class,Corporate,Richardson,Texas,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,2017,12,8,2 days,350.687146701974,4,0,12,2017,4,0,0,5.257078618531439,216.35788897672376,2,51,2
2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,2016,12,27,4 days,119.38100084616687,1,0,12,2016,4,0,0,4.739071510179493,216.35788897672376,374,51,4
2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,2016,12,27,4 days,350.687146701974,1,0,12,2016,4,0,0,6.279270111934266,216.35788897672376,374,55,4
2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,2016,12,27,4 days,350.687146701974,1,0,12,2016,4,0,0,5.361564429111865,216.35788897672376,374,40,4
2016-12-27,2016-12-31,Standard Class,Home Office,Houston,Texas,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,2016,12,27,4 days,456.40147435190295,1,0,12,2016,4,0,0,5.919345365229957,216.35788897672376,374,31,4
2018-09-10,2018-09-15,Standard Class,Corporate,Naperville,Illinois,Central,Technology,Phones,Panasonic Kx-TS550,147.168,2018,9,10,5 days,456.40147435190295,0,0,9,2018,3,0,0,4.998346765120501,216.35788897672376,8,18,5
2017-07-17,2017-07-22,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2017,7,17,5 days,119.38100084616687,0,0,7,2017,3,0,0,4.36792771029438,226.18461289808917,728,48,5
2018-09-19,2018-09-23,Standard Class,Corporate,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2018,9,19,4 days,119.38100084616687,2,0,9,2018,3,0,0,4.570744358973074,243.52406695869837,1,72,4
2017-03-11,2017-03-13,First Class,Corporate,Eagan,Minnesota,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2017,3,11,2 days,456.40147435190295,5,1,3,2017,1,0,0,3.849721979230767,216.35788897672376,8,63,2
2017-03-11,2017-03-13,First Class,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2017,3,11,2 days,119.38100084616687,5,1,3,2017,1,0,0,2.9156062290747062,216.35788897672376,8,59,2
2015-10-20,2015-10-25,Second Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,2015,10,20,5 days,119.38100084616687,1,0,10,2015,4,0,0,5.361104354646802,216.35788897672376,13,68,5
2017-06-20,2017-06-25,Standard Class,Consumer,Dover,Delaware,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,2017,6,20,5 days,456.40147435190295,1,0,6,2017,2,0,0,3.828641396489095,240.3869806034483,19,49,5
2017-06-20,2017-06-25,Standard Class,Consumer,Dover,Delaware,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2017,6,20,5 days,456.40147435190295,1,0,6,2017,2,0,0,3.126760535960395,240.3869806034483,19,98,5
2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,2016,4,18,4 days,119.38100084616687,0,0,4,2016,2,0,0,3.6691868207682004,216.35788897672376,4,65,4
2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,Avery 485,75.18,2016,4,18,4 days,119.38100084616687,0,0,4,2016,2,0,0,4.333098961050458,216.35788897672376,4,9,4
2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2016,4,18,4 days,350.687146701974,0,0,4,2016,2,0,0,1.9685099809725544,216.35788897672376,4,28,4
2016-04-18,2016-04-22,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,2016,4,18,4 days,350.687146701974,0,0,4,2016,2,0,0,4.5107496103686,216.35788897672376,4,32,4
2017-12-11,2017-12-17,Standard Class,Corporate,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,2017,12,11,6 days,119.38100084616687,0,0,12,2017,4,0,0,2.7887081041196646,240.3869806034483,891,18,6
2017-12-11,2017-12-17,Standard Class,Corporate,New York City,New York,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,2017,12,11,6 days,456.40147435190295,0,0,12,2017,4,0,0,6.938235986235724,240.3869806034483,891,32,6
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,2017,6,17,1 days,119.38100084616687,5,1,6,2017,2,0,0,5.345010094540019,240.3869806034483,29,31,1
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,Xerox 232,32.4,2017,6,17,1 days,119.38100084616687,5,1,6,2017,2,0,0,3.5085558999826545,240.3869806034483,29,9,1
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,2017,6,17,1 days,350.687146701974,5,1,6,2017,2,0,0,5.769601425693419,240.3869806034483,29,24,1
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2017,6,17,1 days,119.38100084616687,5,1,6,2017,2,0,0,2.7447035187502458,240.3869806034483,29,38,1
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2017,6,17,1 days,456.40147435190295,5,1,6,2017,2,0,0,3.4339872044851463,240.3869806034483,29,49,1
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Binders,Plastic Binding Combs,48.48,2017,6,17,1 days,119.38100084616687,5,1,6,2017,2,0,0,3.901568547524287,240.3869806034483,29,21,1
2017-06-17,2017-06-18,First Class,Consumer,Troy,New York,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,2017,6,17,1 days,119.38100084616687,5,1,6,2017,2,0,0,0.9858167945227653,240.3869806034483,29,27,1
2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2016,11,24,6 days,456.40147435190295,3,0,11,2016,4,0,0,2.7067159780890733,226.18461289808917,728,62,6
2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,2016,11,24,6 days,119.38100084616687,3,0,11,2016,4,0,0,3.2892970091639273,226.18461289808917,728,70,6
2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,Xerox 1943,146.73,2016,11,24,6 days,119.38100084616687,3,0,11,2016,4,0,0,4.9953862833335165,226.18461289808917,728,10,6
2016-11-24,2016-11-30,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,2016,11,24,6 days,350.687146701974,3,0,11,2016,4,0,0,4.391481793444637,226.18461289808917,728,27,6
2016-04-30,2016-05-05,Standard Class,Home Office,Chicago,Illinois,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,2016,4,30,5 days,350.687146701974,5,1,4,2016,2,0,1,5.36651325386079,216.35788897672376,308,43,5
2015-12-05,2015-12-10,Standard Class,Corporate,Gilbert,Arizona,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,2015,12,5,5 days,119.38100084616687,5,1,12,2015,4,0,0,7.015733964240798,226.18461289808917,15,67,5
2015-12-05,2015-12-10,Standard Class,Corporate,Gilbert,Arizona,West,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,2015,12,5,5 days,456.40147435190295,5,1,12,2015,4,0,0,5.129709347881841,226.18461289808917,15,34,5
2017-06-04,2017-06-06,First Class,Consumer,Springfield,Virginia,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2017,6,4,2 days,119.38100084616687,6,1,6,2017,2,0,0,4.342245764662037,243.52406695869837,161,64,2
2017-09-18,2017-09-23,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,2017,9,18,5 days,119.38100084616687,0,0,9,2017,3,0,0,1.72561966672351,240.3869806034483,891,58,5
2018-09-14,2018-09-17,Second Class,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,2018,9,14,3 days,119.38100084616687,4,0,9,2018,3,0,0,2.998229153752578,216.35788897672376,82,65,3
2016-04-26,2016-05-02,Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,2016,4,26,6 days,350.687146701974,1,0,4,2016,2,0,0,6.724956808482918,243.52406695869837,30,33,6
2016-04-26,2016-05-02,Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2016,4,26,6 days,350.687146701974,1,0,4,2016,2,0,0,4.585375558659912,243.52406695869837,30,75,6
2016-04-26,2016-05-02,Standard Class,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,2016,4,26,6 days,119.38100084616687,1,0,4,2016,2,0,0,4.3011419059334175,243.52406695869837,30,37,6
2018-12-09,2018-12-11,First Class,Corporate,Houston,Texas,Central,Office Supplies,Binders,Economy Binders,1.248,2018,12,9,2 days,119.38100084616687,6,1,12,2018,4,0,0,0.8100409320314447,216.35788897672376,374,15,2
2018-12-09,2018-12-11,First Class,Corporate,Houston,Texas,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,2018,12,9,2 days,350.687146701974,6,1,12,2018,4,0,0,2.370991125658106,216.35788897672376,374,28,2
2018-12-09,2018-12-11,First Class,Corporate,Houston,Texas,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,2018,12,9,2 days,119.38100084616687,6,1,12,2018,4,0,0,3.3407394126250414,216.35788897672376,374,65,2
2015-11-26,2015-12-01,Second Class,Consumer,Houston,Texas,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2015,11,26,5 days,350.687146701974,3,0,11,2015,4,0,0,3.0106208860477417,216.35788897672376,374,57,5
2017-06-12,2017-06-15,First Class,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,2017,6,12,3 days,119.38100084616687,0,0,6,2017,2,0,0,5.34309950931993,243.52406695869837,32,50,3
2017-06-12,2017-06-15,First Class,Corporate,Decatur,Alabama,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,2017,6,12,3 days,119.38100084616687,0,0,6,2017,2,0,0,2.8758219768814333,243.52406695869837,32,47,3
2015-10-12,2015-10-16,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,2015,10,12,4 days,119.38100084616687,0,0,10,2015,4,0,0,2.766319109226186,226.18461289808917,500,70,4
2015-10-12,2015-10-16,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,2015,10,12,4 days,119.38100084616687,0,0,10,2015,4,0,0,3.1086144306106633,226.18461289808917,500,53,4
2016-09-03,2016-09-08,Standard Class,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,2016,9,3,5 days,119.38100084616687,5,1,9,2016,3,0,0,5.308188486343299,243.52406695869837,9,45,5
2018-11-13,2018-11-16,First Class,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,2018,11,13,3 days,119.38100084616687,1,0,11,2018,4,0,0,5.444044092872437,216.35788897672376,308,30,3
2018-05-28,2018-05-30,Second Class,Consumer,Columbia,South Carolina,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2018,5,28,2 days,350.687146701974,0,0,5,2018,2,0,0,5.713600783593539,243.52406695869837,81,32,2
2018-10-26,2018-11-02,Standard Class,Consumer,Rochester,Minnesota,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,2018,10,26,7 days,456.40147435190295,4,0,10,2018,4,0,0,3.0440461338325417,216.35788897672376,53,61,7
2018-10-26,2018-11-02,Standard Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,Avery 511,6.16,2018,10,26,7 days,119.38100084616687,4,0,10,2018,4,0,0,1.9685099809725544,216.35788897672376,53,9,7
2017-04-05,2017-04-10,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,2017,4,5,5 days,119.38100084616687,2,0,4,2017,2,0,0,5.071215993379483,216.35788897672376,374,29,5
2017-09-17,2017-09-22,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,2017,9,17,5 days,119.38100084616687,6,1,9,2017,3,0,0,3.0492730404820207,226.18461289808917,728,38,5
2017-09-17,2017-09-22,Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,Panasonic Kx-TS550,73.584,2017,9,17,5 days,456.40147435190295,6,1,9,2017,3,0,0,4.311926006994392,226.18461289808917,728,18,5
2017-09-17,2017-09-22,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,Xerox 1995,6.48,2017,9,17,5 days,119.38100084616687,6,1,9,2017,3,0,0,2.012232791986386,226.18461289808917,728,10,5
2016-01-31,2016-02-05,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,Xerox 1999,12.96,2016,1,31,5 days,119.38100084616687,6,1,1,2016,1,0,1,2.6361960973342264,216.35788897672376,23,10,5
2016-01-31,2016-02-05,Second Class,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,2016,1,31,5 days,350.687146701974,6,1,1,2016,1,0,1,3.9952606039982017,216.35788897672376,23,30,5
2016-01-31,2016-02-05,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2016,1,31,5 days,119.38100084616687,6,1,1,2016,1,0,1,3.5251833614431467,216.35788897672376,23,33,5
2018-11-06,2018-11-12,Standard Class,Home Office,Portland,Oregon,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,2018,11,6,6 days,119.38100084616687,1,0,11,2018,4,0,0,1.8994173439345647,226.18461289808917,22,53,6
2018-11-09,2018-11-11,Second Class,Home Office,New York City,New York,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,2018,11,9,2 days,350.687146701974,4,0,11,2018,4,0,0,4.580160022983923,240.3869806034483,891,31,2
2018-06-17,2018-06-20,First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,2018,6,17,3 days,119.38100084616687,6,1,6,2018,2,0,0,3.957225790258975,226.18461289808917,500,30,3
2017-09-06,2017-09-11,Standard Class,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,2017,9,6,5 days,119.38100084616687,2,0,9,2017,3,0,0,4.36792771029438,216.35788897672376,2,50,5
2017-08-29,2017-09-02,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,2017,8,29,4 days,119.38100084616687,1,0,8,2017,3,0,0,4.183941482700448,216.35788897672376,308,42,4
2017-08-29,2017-09-02,Standard Class,Home Office,Chicago,Illinois,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,2017,8,29,4 days,456.40147435190295,1,0,8,2017,3,0,0,4.574463525208929,216.35788897672376,308,50,4
2017-08-29,2017-09-02,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,2017,8,29,4 days,119.38100084616687,1,0,8,2017,3,0,0,1.0253244928982777,216.35788897672376,308,45,4
2017-12-01,2017-12-04,Second Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,2017,12,1,3 days,119.38100084616687,4,0,12,2017,4,1,0,3.2156706939192525,216.35788897672376,53,64,3
2016-11-13,2016-11-17,Standard Class,Consumer,Aurora,Colorado,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,2016,11,13,4 days,456.40147435190295,6,1,11,2016,4,0,0,5.480205496092637,226.18461289808917,68,38,4
2016-11-13,2016-11-17,Standard Class,Consumer,Aurora,Colorado,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,2016,11,13,4 days,350.687146701974,6,1,11,2016,4,0,0,4.638218040034292,226.18461289808917,68,73,4
